taxa,accuracy,sample_size
Abrocoma bennettii,0.9342105263,152
Abrocoma cinerea,0.8709677419,62
Abrothrix andinus,0.9431818182,440
Abrothrix jelskii,0.9258160237,674
Abrothrix lanosus,0.93,100
Abrothrix longipilis,0.9063193439,10365
Abrothrix manni,0.9176470588,170
Abrothrix olivaceus,0.8823529412,11339
Abrothrix sanborni,0.8899082569,109
Acomys cahirinus,0.955,2200
Acomys cineraceus,0.9630314233,541
Acomys dimidiatus,0.9207920792,101
Acomys ignitus,0.9125,80
Acomys johannis,0.9038461538,52
Acomys kempi,0.8846153846,52
Acomys percivali,0.859375,64
Acomys russatus,0.8962962963,135
Acomys spinosissimus,0.9182795699,930
Acomys subspinosus,0.9166666667,96
Acomys wilsoni,0.9212328767,292
Aconaemys fuscus,0.8947368421,38
Aconaemys porteri,0.9642857143,28
Aconaemys sagei,0.9696969697,66
Aegialomys xanthaeolus,0.9396551724,348
Aepeomys lugens,0.94,50
Aethomys bocagei,0.8815789474,76
Aethomys chrysophilus,0.9100486224,2468
Aethomys hindei,0.9140271493,442
Aethomys ineptus,0.9230769231,26
Aethomys kaiseri,0.9565587734,1174
Aethomys nyikae,0.8805031447,159
Akodon aerosus,0.96,1425
Akodon albiventer,0.9300411523,972
Akodon azarae,0.9552393656,6747
Akodon boliviensis,0.9519230769,1352
Akodon budini,0.9310344828,58
Akodon cursor,0.9294274301,751
Akodon dayi,0.9377289377,273
Akodon dolores,0.9664082687,387
Akodon fumeus,0.9324324324,296
Akodon iniscatus,0.9573459716,211
Akodon juninensis,0.9230769231,52
Akodon kofordi,0.9625,80
Akodon lutescens,0.9533932952,1223
Akodon mimus,0.9786324786,702
Akodon molinae,0.9152542373,59
Akodon mollis,0.9405286344,908
Akodon montensis,0.9517133956,642
Akodon orophilus,0.9246987952,332
Akodon paranaensis,1,24
Akodon siberiae,0.95,60
Akodon simulator,0.9481268012,1388
Akodon spegazzinii,0.8571428571,105
Akodon subfuscus,0.9542619543,962
Akodon surdus,0.9705882353,34
Akodon toba,0.9584664537,313
Akodon torques,0.9755434783,736
Akodon varius,0.939516129,496
Allactaga balikunica,0.9745762712,118
Allactaga bullata,0.9534883721,172
Allactaga elater,0.9213973799,229
Allactaga euphratica,0.9384615385,130
Allactaga hotsoni,0.9285714286,42
Allactaga sibirica,0.9220779221,385
Allactaga tetradactyla,0.9338842975,121
Allocricetulus curtatus,0.9722222222,36
Alticola argentatus,0.7777777778,45
Alticola barakshin,0.9761499148,587
Alticola lemminus,0.9659863946,147
Alticola roylei,0.9318181818,44
Alticola semicanus,0.9242424242,132
Alticola stoliczkanus,0.875,24
Alticola strelzowi,0.9659574468,235
Alticola tuvinicus,0.9166666667,36
Ammospermophilus harrisii,0.9001663894,1803
Ammospermophilus interpres,0.9247135843,611
Ammospermophilus leucurus,0.8396491228,8550
Ammospermophilus nelsoni,0.9806678383,569
Andalgalomys olrogi,0.9166666667,24
Andalgalomys pearsoni,0.8867924528,53
Andinomys edax,0.8823529412,136
Anomalurus beecrofti,0.8977272727,176
Anomalurus derbianus,0.8926315789,475
Anomalurus pelii,0.9896907216,291
Anomalurus pusillus,0.8679245283,106
Aplodontia rufa,0.8939203354,2385
Apodemus agrarius,0.8903834571,4981
Apodemus alpicola,0.9827160494,405
Apodemus argenteus,0.9329608939,358
Apodemus chevrieri,0.9770833333,480
Apodemus draco,0.9727272727,1430
Apodemus flavicollis,0.9385785536,40100
Apodemus hyrcanicus,0.9807692308,52
Apodemus latronum,0.9210526316,76
Apodemus mystacinus,0.9862825789,729
Apodemus pallipes,0.9269662921,356
Apodemus peninsulae,0.9383954155,698
Apodemus semotus,0.995308835,1279
Apodemus speciosus,0.9510268562,633
Apodemus sylvaticus,0.9145745768,44015
Apodemus uralensis,0.9520255864,938
Apodemus witherbyi,0.9756944444,288
Apomys abrae,0.9676549865,371
Apomys aurorae,0.9698492462,199
Apomys datae,0.9980888677,2093
Apomys hylocetes,0.9772727273,176
Apomys insignis,0.9818181818,440
Apomys littoralis,0.9568965517,116
Apomys microdon,0.9840425532,376
Apomys minganensis,1,180
Apomys musculus,0.98820059,339
Apomys sacobianus,0.9974226804,388
Apomys sierrae,0.9895437262,1052
Apomys zambalensis,0.9958333333,480
Arborimus albipes,0.940874036,389
Arborimus longicaudus,0.9445843829,397
Arborimus pomo,0.9586288416,846
Arvicanthis abyssinicus,0.9639293937,1303
Arvicanthis ansorgei,0.8913043478,46
Arvicanthis nairobae,0.9253731343,67
Arvicanthis neumanni,0.9117647059,68
Arvicanthis niloticus,0.8968253968,6048
Arvicanthis rufinus,0.9398907104,183
Arvicola scherman,0.9826495865,6167
Atherurus africanus,0.9509632224,571
Atherurus macrourus,0.8518518519,54
Atlantoxerus getulus,0.9520295203,271
Auliscomys boliviensis,0.9239130435,276
